Afar (Djibouti): ZZZ | aar
Tamil (Singapore): ZZZ | tam
Tamil (Sri Lanka): TAM | tam
Tamil: TAI | tam
Tasawaq (Niger): ZZZ | twq
Tasawaq: ZZZ | twq
Tatar (Russia): TTT | tat
Tatar: TTT | tat
Telugu (India): TEL | tel
Telugu: TEL | tel
Teso (Kenya): ZZZ | teo
Teso (Uganda): ZZZ | teo
Teso: ZZZ | teo
Thai (Thailand): THA | tha
Thai: THA | tha
Tibetan (China): BOB | bod
Tibetan (India): ZZZ | bod
Tibetan: BOB | bod
Tigre (Eritrea): ZZZ | tig
Tigre: ZZZ | tig
Tigrinya (Eritrea): TIR | tir
Tigrinya (Ethiopia): TIE | tir
Tigrinya: TIR | tir
Tongan (Tonga): ZZZ | ton
Tongan: ZZZ | ton
Turkish (Cyprus): ZZZ | tur
Turkish (Turkey): TRK | tur
Turkish: TRK | tur
Turkmen (Turkmenistan): TUK | tuk
Turkmen: TUK | tuk
Ukrainian (Ukraine): UKR | ukr
Ukrainian: UKR | ukr
Upper Sorbian (Germany): HSB | hsb
Upper Sorbian: HSB | hsb
Urdu (India): URI | urd
Urdu (Pakistan): URD | urd
Urdu: URD | urd
Uyghur (China): UIG | uig
Uyghur: UIG | uig
Uzbek (Arabic): ZZZ | uzb
Uzbek (Arabic, Afghanistan): ZZZ | uzb
Uzbek (Cyrillic): UZC | uzb
Uzbek (Cyrillic, Uzbekistan): UZC | uzb
Uzbek (Latin): UZB | uzb
Uzbek (Latin, Uzbekistan): UZB | uzb
Uzbek: UZB | uzb
Vai (Latin): ZZZ | vai
Vai (Latin, Liberia): ZZZ | vai
Vai (Vai): ZZZ | vai
Vai (Vai, Liberia): ZZZ | vai
Vai: ZZZ | vai
Venda (South Africa): ZZZ | ven
Venda: ZZZ | ven
Vietnamese (Vietnam): VIT | vie
Vietnamese: VIT | vie
Volapük (World): ZZZ | vol
Volapük: ZZZ | vol
Vunjo (Tanzania): ZZZ | vun
Vunjo: ZZZ | vun
Walser (Switzerland): ZZZ | wae
Walser: ZZZ | wae
Welsh (United Kingdom): CYM | cym
Welsh: CYM | cym
Western Frisian (Netherlands): FYN | fry
Western Frisian: FYN | fry
Wolaytta (Ethiopia): ZZZ | wal
Wolaytta: ZZZ | wal
Wolof (Senegal): WOL | wol
Wolof: WOL | wol
Xitsonga (South Africa): TSO | tso
Xitsonga: TSO | tso
Yangben (Cameroon): ZZZ | yav
Yangben: ZZZ | yav
Yi (China): III | iii
Yi: III | iii
Yiddish (World): ZZZ | yid
Yiddish: ZZZ | yid
Yoruba (Benin): ZZZ | yor
Yoruba (Nigeria): YOR | yor
Yoruba: YOR | yor
Zarma (Niger): ZZZ | dje
Zarma: ZZZ | dje
